image_name,worm_id,end1_x,end1_y,end2_x,end2_y
IMG_2153.JPG,1,126,139,128,136
IMG_2154.JPG,1,117,127,120,125
IMG_2156.JPG,1,147,147,110,139
IMG_2157.JPG,1,127,115,125,87
IMG_2158.JPG,1,76,203,110,94
IMG_2159.JPG,1,133,173,127,110
IMG_2160.JPG,1,128,212,119,38
IMG_2175.JPG,1,119,120,132,106
IMG_2180.JPG,1,54,168,193,93
IMG_2183.JPG,1,51,200,182,86
IMG_2184.JPG,1,61,146,154,1
IMG_2185.JPG,1,169,175,60,42
IMG_2187.JPG,1,165,196,43,78
IMG_2188.JPG,1,55,132,184,93
IMG_2189.JPG,1,156,204,110,67
IMG_2191.JPG,1,129,128,104,111
IMG_2194.JPG,1,166,86,96,41
IMG_2257.JPG,1,132,154,131,137
IMG_2263.JPG,1,132,134,126,114
IMG_2275.JPG,1,155,179,144,107
IMG_2284.JPG,1,128,188,137,56
IMG_2285.JPG,1,163,177,56,98
IMG_2286.JPG,1,219,169,64,159
IMG_2287.JPG,1,212,169,50,153
IMG_2288.JPG,1,114,179,119,167
IMG_2289.JPG,1,101,149,154,96
IMG_2291.JPG,1,219,136,148,103
IMG_2292.JPG,1,107,155,108,125
IMG_2294.JPG,1,145,122,91,91
IMG_2295.JPG,1,136,155,134,155
IMG_2296.JPG,1,98,216,102,209
IMG_2296.JPG,2,149,139,141,132
IMG_2297.JPG,1,201,178,110,89
IMG_2298.JPG,1,131,144,134,141
IMG_2299.JPG,1,117,140,120,136
IMG_2300.JPG,1,91,174,117,134
IMG_2301.JPG,1,120,156,119,153
IMG_2302.JPG,1,142,190,121,169
IMG_2303.JPG,1,140,188,122,166
IMG_2304.JPG,1,140,187,119,166
IMG_2305.JPG,1,139,159,136,158
IMG_2306.JPG,1,134,173,128,171
IMG_2307.JPG,1,178,183,96,140
IMG_2308.JPG,1,139,153,146,147
IMG_2309.JPG,1,139,154,147,148
IMG_2310.JPG,1,106,167,167,98
IMG_2311.JPG,1,139,173,139,165
IMG_2312.JPG,1,138,173,139,165
IMG_2313.JPG,1,149,212,159,145
IMG_2314.JPG,1,153,220,162,150
IMG_2315.JPG,1,131,126,129,112
IMG_2316.JPG,1,121,165,123,162
IMG_2317.JPG,1,104,198,136,181
IMG_2318.JPG,1,121,155,134,152
IMG_2319.JPG,1,64,179,195,121
IMG_2320.JPG,1,130,153,133,149
IMG_2320.JPG,2,96,143,98,136
IMG_2321.JPG,1,170,155,173,151
IMG_2321.JPG,2,135,148,136,136
IMG_2322.JPG,1,129,125,150,45
IMG_2323.JPG,1,118,175,173,141
IMG_2325.JPG,1,109,182,161,96
IMG_2326.JPG,1,127,157,131,154
IMG_2327.JPG,1,95,182,142,149
IMG_2328.JPG,1,136,153,132,137
IMG_2330.JPG,1,150,241,101,65
IMG_2331.JPG,1,157,213,119,29
IMG_2332.JPG,1,127,165,128,157
IMG_2333.JPG,1,123,197,132,100
IMG_2334.JPG,1,130,156,123,148
IMG_2335.JPG,1,182,211,85,125
IMG_2336.JPG,1,129,148,133,143
IMG_2337.JPG,1,131,147,134,142
IMG_2338.JPG,1,129,167,131,165
IMG_2340.JPG,1,59,153,102,125
IMG_2341.JPG,1,114,117,126,113
IMG_2342.JPG,1,64,157,207,117
IMG_2343.JPG,1,131,156,142,149
IMG_2344.JPG,1,142,154,145,141
IMG_2345.JPG,1,134,149,139,144
IMG_2346.JPG,1,129,237,123,231
IMG_2346.JPG,2,205,203,206,194
IMG_2346.JPG,3,147,192,132,186
IMG_2346.JPG,4,136,152,141,151
IMG_2346.JPG,5,99,141,99,138
IMG_2346.JPG,6,102,140,97,139
IMG_2347.JPG,1,81,203,75,202
IMG_2347.JPG,2,145,194,137,185
IMG_2347.JPG,3,128,147,129,135
IMG_2348.JPG,1,155,201,153,199
IMG_2348.JPG,2,71,141,65,139
IMG_2348.JPG,3,131,135,126,126
IMG_2348.JPG,4,118,89,120,82
IMG_2349.JPG,1,99,116,106,113
IMG_2349.JPG,2,138,113,132,111
IMG_2349.JPG,3,198,107,192,97
IMG_2350.JPG,1,127,173,126,165
IMG_2351.JPG,1,154,161,144,159
IMG_2353.JPG,1,87,240,162,150
IMG_2354.JPG,1,210,167,100,141
IMG_2355.JPG,1,139,124,140,115
IMG_2355.JPG,2,85,115,68,109
IMG_2356.JPG,1,92,150,151,145
IMG_2357.JPG,1,98,175,125,113
IMG_2358.JPG,1,151,211,139,146
IMG_2361.JPG,1,164,213,152,141
IMG_2364.JPG,1,90,198,89,188
IMG_2364.JPG,2,137,155,135,152
IMG_2364.JPG,3,92,105,90,102
IMG_2365.JPG,1,124,134,119,126
IMG_2365.JPG,2,111,89,114,77
IMG_2366.JPG,1,127,134,121,125
IMG_2366.JPG,2,113,89,114,81
IMG_2367.JPG,1,113,129,120,125
IMG_2367.JPG,2,152,127,148,127
IMG_2368.JPG,1,134,146,127,134
IMG_2370.JPG,1,66,193,64,181
IMG_2370.JPG,2,141,168,137,164
IMG_2371.JPG,1,115,140,116,130
IMG_2372.JPG,1,132,202,132,111
IMG_2373.JPG,1,135,209,133,114
IMG_2374.JPG,1,98,181,105,179
IMG_2374.JPG,2,146,154,148,152
IMG_2375.JPG,1,122,132,115,132
IMG_2376.JPG,1,125,148,123,146
IMG_2376.JPG,2,162,142,167,141
IMG_2376.JPG,3,98,79,92,78
IMG_2377.JPG,1,93,187,98,184
IMG_2377.JPG,2,140,158,140,153
IMG_2379.JPG,1,155,156,132,127
IMG_2381.JPG,1,136,100,138,96
IMG_2382.JPG,1,133,147,142,79
IMG_2383.JPG,1,145,119,152,110
IMG_2384.JPG,1,135,143,125,131
IMG_2385.JPG,1,132,141,99,130
IMG_2386.JPG,1,151,182,147,180
IMG_2386.JPG,2,105,160,106,157
IMG_2388.JPG,1,142,154,139,151
IMG_2389.JPG,1,127,172,126,164
IMG_2391.JPG,1,126,151,126,141
IMG_2392.JPG,1,95,142,100,141
IMG_2392.JPG,2,140,125,151,122
IMG_2393.JPG,1,142,129,138,123
IMG_2394.JPG,1,130,146,123,144
IMG_2396.JPG,1,187,182,101,62
IMG_2398.JPG,1,153,214,152,197
IMG_2398.JPG,2,126,136,120,132
IMG_2401.JPG,1,115,149,121,143
IMG_2402.JPG,1,138,144,131,141
IMG_2512.JPG,1,54,130,191,106
IMG_2513.JPG,1,53,159,189,124
IMG_2514.JPG,1,93,173,185,69
IMG_2515.JPG,1,56,186,171,135
IMG_2517.JPG,1,131,164,144,157
IMG_2520.JPG,1,118,161,134,151
IMG_2522.JPG,1,32,241,171,113
IMG_2523.JPG,1,192,199,71,168
IMG_2524.JPG,1,191,200,69,168
IMG_2526.JPG,1,156,218,59,78
IMG_2527.JPG,1,123,254,99,83
IMG_2554.JPG,1,68,183,45,182
IMG_2554.JPG,2,114,146,117,139
IMG_2555.JPG,1,110,152,133,100
IMG_2556.JPG,1,111,126,104,123
IMG_2557.JPG,1,129,130,54,90
IMG_2561.JPG,1,113,151,104,135
IMG_2562.JPG,1,103,147,119,143
IMG_2563.JPG,1,112,154,106,138
IMG_2571.JPG,1,110,159,118,134
IMG_2572.JPG,1,111,157,117,132
IMG_2573.JPG,1,106,166,116,148
IMG_2574.JPG,1,106,165,116,148
IMG_2575.JPG,1,95,229,164,78
IMG_2576.JPG,1,47,208,153,52
IMG_2577.JPG,1,106,129,114,120
IMG_2578.JPG,1,63,193,152,144
IMG_2580.JPG,1,120,138,114,138
IMG_2581.JPG,1,111,170,67,117
IMG_2582.JPG,1,112,167,67,116
IMG_2586.JPG,1,118,135,111,124
IMG_2587.JPG,1,111,135,115,111
IMG_2588.JPG,1,106,142,111,116
IMG_2591.JPG,1,110,137,111,128
IMG_2592.JPG,1,129,135,133,127
IMG_2593.JPG,1,120,133,123,132
IMG_2594.JPG,1,106,136,110,135
IMG_2595.JPG,1,74,189,72,168
IMG_2595.JPG,2,104,161,85,154
IMG_2595.JPG,3,127,143,144,130
IMG_2596.JPG,1,92,213,98,182
IMG_2596.JPG,2,153,148,159,120
IMG_2596.JPG,3,90,123,102,109
IMG_2597.JPG,1,133,140,113,135
IMG_2597.JPG,2,86,123,65,115
IMG_2598.JPG,1,41,129,19,124
IMG_2598.JPG,2,95,126,115,126
IMG_2600.JPG,1,39,191,167,122
IMG_2601.JPG,1,16,155,162,154
IMG_2602.JPG,1,195,150,86,98
IMG_2603.JPG,1,87,254,150,112
IMG_2604.JPG,1,106,209,101,43
IMG_2605.JPG,1,42,214,149,93
IMG_2606.JPG,1,50,160,199,128
IMG_2607.JPG,1,34,212,183,142
IMG_2608.JPG,1,96,174,205,143
IMG_2609.JPG,1,163,155,20,115
IMG_2610.JPG,1,142,254,70,54
IMG_2611.JPG,1,183,216,66,117
IMG_2614.JPG,1,106,135,109,129
IMG_2615.JPG,1,104,132,108,132
IMG_2617.JPG,1,111,127,110,121
IMG_2618.JPG,1,112,123,121,115
IMG_2619.JPG,1,44,156,150,93
IMG_2621.JPG,1,106,159,132,84
IMG_2623.JPG,1,118,140,60,130
IMG_2624.JPG,1,150,164,93,127
IMG_2625.JPG,1,164,129,106,115
IMG_2643.JPG,1,154,240,131,94
IMG_2647.JPG,1,38,210,179,121
IMG_2648.JPG,1,118,162,114,144
IMG_2649.JPG,1,128,254,79,56
IMG_2650.JPG,1,118,151,114,140
IMG_2651.JPG,1,132,172,127,160
IMG_2652.JPG,1,116,140,110,132
IMG_2653.JPG,1,116,152,123,148
IMG_2653.JPG,2,153,114,150,106
IMG_2653.JPG,3,50,103,46,100
IMG_2654.JPG,1,116,191,125,172
IMG_2654.JPG,2,121,132,137,119
IMG_2655.JPG,1,129,232,109,166
IMG_2656.JPG,1,138,132,131,126
IMG_2659.JPG,1,106,134,106,127
IMG_2660.JPG,1,141,241,148,226
IMG_2660.JPG,2,128,145,120,135
IMG_2661.JPG,1,131,135,125,133
IMG_2663.JPG,1,120,215,111,203
IMG_2663.JPG,2,105,204,99,172
IMG_2663.JPG,3,118,143,123,130
IMG_2663.JPG,4,107,109,102,87
IMG_2663.JPG,5,113,69,101,31
IMG_2665.JPG,1,113,182,129,175
IMG_2665.JPG,2,97,114,100,109
IMG_2666.JPG,1,112,151,113,139
IMG_2667.JPG,1,131,145,128,140
IMG_2668.JPG,1,94,227,121,207
IMG_2668.JPG,2,121,136,122,131
IMG_2669.JPG,1,125,143,142,134
IMG_2670.JPG,1,117,143,120,138
IMG_2672.JPG,1,112,144,116,137
IMG_2673.JPG,1,114,172,152,103
IMG_2674.JPG,1,123,205,106,153
IMG_2675.JPG,1,96,207,96,97
IMG_2676.JPG,1,124,164,91,96
IMG_2677.JPG,1,98,154,130,93
IMG_2678.JPG,1,31,155,191,123
IMG_2680.JPG,1,100,206,140,179
IMG_2681.JPG,1,131,136,123,128
IMG_2682.JPG,1,90,189,98,117
IMG_2683.JPG,1,131,210,115,121
IMG_2685.JPG,1,138,210,123,86
IMG_2687.JPG,1,112,141,137,99
IMG_2688.JPG,1,44,195,188,108
IMG_2690.JPG,1,86,189,187,118
IMG_2691.JPG,1,146,199,133,69
IMG_2692.JPG,1,96,218,113,151
IMG_2693.JPG,1,95,219,112,150
IMG_2694.JPG,1,169,130,94,71
IMG_2695.JPG,1,120,181,104,114
IMG_2696.JPG,1,154,183,119,85
IMG_2697.JPG,1,161,172,142,80
IMG_2698.JPG,1,68,167,144,165
IMG_2699.JPG,1,141,157,90,56
IMG_2700.JPG,1,73,164,42,143
IMG_2700.JPG,2,118,133,111,125
IMG_2701.JPG,1,117,139,115,134
IMG_2702.JPG,1,119,146,133,132
IMG_2702.JPG,2,116,106,120,96
IMG_2705.JPG,1,124,132,117,125
IMG_2707.JPG,1,127,130,130,125
IMG_2708.JPG,1,127,123,118,101
IMG_2710.JPG,1,120,123,123,119
IMG_2714.JPG,1,119,162,127,160
IMG_2715.JPG,1,119,164,119,160
IMG_2717.JPG,1,136,131,128,123
IMG_2718.JPG,1,129,157,124,156
IMG_2719.JPG,1,117,146,122,145
IMG_2720.JPG,1,72,113,117,105
IMG_2721.JPG,1,112,169,116,167
IMG_2722.JPG,1,107,164,104,160
IMG_2722.JPG,2,139,140,147,138
IMG_2723.JPG,1,117,210,91,197
IMG_2724.JPG,1,87,123,177,119
IMG_2725.JPG,1,87,211,129,190
IMG_2726.JPG,1,130,195,88,164
IMG_2727.JPG,1,65,189,142,143
IMG_2728.JPG,1,62,138,125,127
IMG_2730.JPG,1,163,246,58,84
IMG_2731.JPG,1,140,254,120,94
IMG_2732.JPG,1,171,203,111,133
IMG_2733.JPG,1,117,163,126,143
IMG_2734.JPG,1,78,111,97,100
IMG_2735.JPG,1,145,229,133,111
IMG_2736.JPG,1,81,205,165,58
IMG_2737.JPG,1,103,243,149,68
IMG_2738.JPG,1,91,226,138,30
IMG_2739.JPG,1,94,249,158,77
IMG_2740.JPG,1,126,119,112,81
IMG_2741.JPG,1,122,174,129,149
IMG_2742.JPG,1,116,155,117,152
IMG_2743.JPG,1,113,134,111,130
IMG_2744.JPG,1,127,130,122,125
IMG_2747.JPG,1,121,163,130,149
IMG_2748.JPG,1,121,141,130,122
IMG_2749.JPG,1,128,144,110,136
IMG_2750.JPG,1,157,227,136,216
IMG_2750.JPG,2,132,134,123,112
IMG_2751.JPG,1,129,142,114,128
IMG_2752.JPG,1,118,145,133,128
IMG_2753.JPG,1,77,210,196,89
IMG_2755.JPG,1,76,131,66,84
IMG_2756.JPG,1,146,183,119,145
IMG_2757.JPG,1,73,234,181,98
IMG_2758.JPG,1,81,223,157,46
IMG_2760.JPG,1,48,183,128,172
IMG_2762.JPG,1,84,254,170,68
IMG_2763.JPG,1,95,135,119,118
IMG_2765.JPG,1,143,207,78,96
IMG_2766.JPG,1,122,129,112,119
IMG_2767.JPG,1,186,185,78,69
IMG_2768.JPG,1,122,117,112,110
IMG_2769.JPG,1,123,149,116,133
IMG_2771.JPG,1,157,173,158,167
IMG_2771.JPG,2,149,159,140,154
IMG_2771.JPG,3,138,118,137,107
IMG_2773.JPG,1,134,196,122,194
IMG_2773.JPG,2,115,126,106,123
IMG_2773.JPG,3,111,113,106,98
IMG_2774.JPG,1,131,131,129,124
IMG_2774.JPG,2,123,127,130,105
IMG_2774.JPG,3,100,119,99,115
IMG_2775.JPG,1,118,138,110,137
IMG_2776.JPG,1,116,124,119,111
IMG_2779.JPG,1,170,143,56,93
IMG_2783.JPG,1,147,134,72,97
IMG_2784.JPG,1,178,153,77,98
IMG_2785.JPG,1,159,162,66,85
IMG_2786.JPG,1,50,240,159,77
IMG_2787.JPG,1,136,120,76,77
IMG_2789.JPG,1,159,190,83,97
IMG_2790.JPG,1,163,189,66,79
IMG_2791.JPG,1,83,159,154,114
IMG_2792.JPG,1,84,161,169,87
IMG_2793.JPG,1,178,146,38,130
IMG_2795.JPG,1,158,211,110,54
IMG_2797.JPG,1,182,163,109,140
IMG_2798.JPG,1,114,101,83,82
IMG_2799.JPG,1,115,101,93,80
IMG_2800.JPG,1,118,194,152,96
IMG_2801.JPG,1,127,149,121,113
IMG_2802.JPG,1,125,150,123,106
IMG_2804.JPG,1,108,140,108,132
IMG_2804.JPG,2,104,133,107,114
IMG_2804.JPG,3,78,132,76,126
IMG_2805.JPG,1,157,172,109,75
IMG_2807.JPG,1,178,142,74,124
IMG_2808.JPG,1,161,216,121,116
IMG_2809.JPG,1,122,187,124,74
IMG_2812.JPG,1,145,179,80,88
IMG_2815.JPG,1,99,173,152,114
IMG_2817.JPG,1,74,161,147,89
IMG_2819.JPG,1,110,131,118,128
IMG_2820.JPG,1,70,167,166,156
IMG_E2397.JPG,1,126,121,126,112
IMG_2206.JPG,1,139,186,132,183
IMG_2207.JPG,1,129,143,96,142
IMG_2208.JPG,1,151,120,115,118
IMG_2210.JPG,1,122,157,122,143
IMG_2212.JPG,1,122,186,124,175
IMG_2213.JPG,1,137,166,127,117
IMG_2214.JPG,1,131,156,119,107
IMG_2221.JPG,1,115,184,119,174
IMG_2221.JPG,2,154,118,162,117
IMG_2222.JPG,1,113,170,152,166
IMG_2223.JPG,1,102,163,140,153
IMG_2224.JPG,1,106,143,112,126
IMG_2224.JPG,2,111,122,118,104
IMG_2225.JPG,1,116,134,120,116
IMG_2225.JPG,2,121,112,128,95
IMG_2234.JPG,1,93,175,147,157
IMG_2235.JPG,1,93,165,146,148
IMG_2238.JPG,1,144,208,118,124
IMG_2239.JPG,1,182,157,119,123
IMG_2240.JPG,1,181,157,119,124
IMG_2243.JPG,1,144,150,142,133
IMG_2244.JPG,1,146,150,138,84
IMG_2246.JPG,1,138,168,148,156
IMG_2247.JPG,1,107,188,161,145
IMG_2248.JPG,1,109,189,163,144
IMG_2251.JPG,1,135,154,137,150
IMG_2252.JPG,1,131,133,138,115
IMG_2253.JPG,1,131,127,138,108
IMG_2254.JPG,1,132,144,126,140
IMG_2255.JPG,1,138,141,118,127
